# One row per whole TEST initially. Split selector into comma-separated OBEY sections after manual review.
suite	test	selector	classification	milestone	disposition	blocker	evidence
charsets	TEST001	all	portable	M4	blocked	fbstring-assert-after-two-UCS2-sort-key-rows;reprobe-2026-08-12-sqlci-134	core/sql/regress/charsets/TEST001:183
charsets	TEST002	all	portable	M4	blocked	trigger-now-created-and-SHOWDDL-output-diff;reprobe-2026-08-12	core/sql/regress/charsets/TEST002:52
charsets	TEST003	all	portable	M10	runnable	none	core/sql/regress/charsets/TEST003:54
charsets	TEST004	all	portable	M6	runnable	none	core/sql/regress/liteLegacy/reprobe-m2-m6-2026-08-12.tsv
charsets	TEST010	all	portable	M2	runnable	none	core/sql/regress/liteLegacy/reprobe-m2-m6-2026-08-12.tsv
charsets	TEST012	all	portable	M4	blocked	INVOKE-SHOWDDL-and-UCS2-default-literal-output-diff;reprobe-2026-08-12	core/sql/regress/charsets/TEST012:30
charsets	TEST014	all	portable	M4	blocked	HASH2-PARTITION-BY-rejected-error-1199;reprobe-2026-08-12	core/sql/regress/charsets/TEST014:14
charsets	TEST310	all	portable	M4	blocked	30s-timeout-in-TRIM-predicate-sequence;reprobe-2026-08-12	core/sql/regress/charsets/TEST310:47
charsets	TEST311	all	portable	M4	blocked	30s-timeout-in-RTRIM-predicate-sequence;reprobe-2026-08-12	core/sql/regress/charsets/TEST311:48
charsets	TEST312	all	portable	M4	blocked	UTF8-output-width-diff-and-30s-timeout-in-DECODE-query;reprobe-2026-08-12	core/sql/regress/charsets/TEST312:44
charsets	TEST313	all	portable	M4	blocked	UCS2-output-width-diff-and-30s-timeout-in-string-query;reprobe-2026-08-12	core/sql/regress/charsets/TEST313:47
charsets	TEST314	all	portable	M4	runnable	none	core/sql/regress/liteLegacy/reprobe-m2-m6-2026-08-12.tsv
charsets	TEST315	all	portable	M4	blocked	UTF8-TRIM-length-padding-and-order-diff;reprobe-2026-08-12	core/sql/regress/charsets/TEST315:624
charsets	TEST316	all	portable	M10	runnable	none	core/sql/regress/charsets/TEST316:42
charsets	TEST3265	all	portable	M6	blocked	64K-VARCHAR-statistics-GET-metadata-request-unsupported;reprobe-2026-08-12	core/sql/regress/charsets/TEST3265:42
compGeneral	TEST001	all	portable	M2	blocked	legacy-range-partition-DDL-syntax-error-15001;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST001:34
compGeneral	TEST004	clean_up,sch_5452,tests_begin,case_10_060807_4104,soln_10_060807_8199,soln_10-070416-4141,solu-10-080403-2090,tests_end	portable	M4	blocked	section-baseline-extraction-empty-and-runtime-error-2013;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST004:30
compGeneral	TEST004	ALM_6748	service-stack	M7	unsafe	optimizer-expression-prepare-sqlci-abort-134	core/sql/regress/compGeneral/TEST004:837
compGeneral	TEST004	LP_1324303	portable	M5	blocked	_MD_-TABLE_CONSTRAINTS-object-missing-error-1389;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST004:850
compGeneral	TEST004	verify_sap_update_fix	service-stack	M7	unsafe	external-log-filter-shell-pipeline	core/sql/regress/compGeneral/TEST004:820
compGeneral	TEST005	all	portable	M2	blocked	ESP-error-2013-on-complex-full-outer-join;reprobe-2026-08-12-120s	core/sql/regress/compGeneral/TEST005:585
compGeneral	TEST006	clean_up,create_tables,negative_tests,positive_tests,analyzer_tests,defaults_tests,misc_tests,mode_special_tests,olap_functions,optimizer_hints,clean_up	mixed	M4	blocked	cleanup-object-diagnostics-and-legacy-output-contract-diff;reprobe-2026-08-12-120s	core/sql/regress/compGeneral/TEST006:81
compGeneral	TEST006	all	service-stack	M7	unsafe	unsectioned-shell-log-cleanup-driver	core/sql/regress/compGeneral/TEST006:29
compGeneral	TEST011	all	portable	M2	blocked	legacy-setup-output-and-later-object-lifecycle-diff;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST011:212
compGeneral	TEST013	all	portable	M4	blocked	RI-warning-system-index-and-SHOWDDL-output-diff;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST013:25
compGeneral	TEST015	all	portable	M4	blocked	30s-timeout-during-large-cross-join-load;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST015:41
compGeneral	TEST023	all	portable	M5	blocked	UPDATE-STATISTICS-LOG-and-UPSERT-USING-LOAD-unsupported;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST023:112
compGeneral	TEST042	test_ddl	mixed	M7	blocked	SALT-partitioned-table-and-hybrid-query-cache-statistics-setup	core/sql/regress/compGeneral/TEST042:52
compGeneral	TEST042	test_dml	service-stack	M7	unsafe	hybrid-query-cache-shell-log-and-proc-inspection	core/sql/regress/compGeneral/TEST042:248
compGeneral	TEST045	setup,ddl,common_subexpr,with_queries	portable	M4	blocked	INSERT-NO-CHECK-error-8001-and-30s-timeout-in-CSE-query;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST045:451
compGeneral	TEST045	clnup	service-stack	M7	unsafe	cleanup-obsolete-volatile-tables-sqlci-segfault-139	core/sql/regress/compGeneral/TEST045:40
compGeneral	TEST062	all	mixed	M7	blocked	partition-SALT-and-skew-executor;also-M1-M2-M5-M6	core/sql/regress/compGeneral/TEST062:99
compGeneral	TEST071	all	portable	M4	blocked	legacy-metadata-query-result-contract-diff;reprobe-2026-08-12	core/sql/regress/compGeneral/TEST071:85
compGeneral	TEST072	all	udr	M9	unsafe	external-cpp-java-library-helper	core/sql/regress/compGeneral/TEST072
compGeneral	TESTTOK	all	compiler-tool	M7	unsafe	external-parser-tool-helper	core/sql/regress/compGeneral/TESTTOK
compGeneral	TESTTOK2	all	compiler-tool	M7	unsafe	external-parser-tool-helper	core/sql/regress/compGeneral/TESTTOK2
core	TEST000	all	service-stack	M7	unsafe	external-TRAF_HOME-regrinit-OBEY	core/sql/regress/core/TEST000:28
core	TEST001	all	compiler-tool	M7	unsafe	sqlci-post-session-segfault-139-after-conditional-directives	core/sql/regress/core/TEST001:242
core	TEST002	all	portable	M2	blocked	30s-timeout-in-scalar-subquery-regression;reprobe-2026-08-12	core/sql/regress/core/TEST002:351
core	TEST005	all	portable	M3	blocked	duplicate-unique-index-key-rejected-error-3242;reprobe-2026-08-12	core/sql/regress/core/TEST005:145
core	TEST008	all	portable	M7	blocked	complex-join-executor-ESP-error-2013	core/sql/regress/core/TEST008:196
core	TEST010	all	portable	M4	blocked	diagnostic-default-schema-and-text-diff;reprobe-2026-08-12	core/sql/regress/core/TEST010:514
core	TEST018	all	portable	M10	runnable	none	core/sql/regress/core/TEST018:52
core	TEST019	all	portable	M7	blocked	hash-join-scratch-error-8427;also-M1-M2-M3-M5	core/sql/regress/core/TEST019:261
core	TEST020	all	portable	M7	blocked	forced-hash-join-partition-access-shape-error-2105	core/sql/regress/core/TEST020:81
core	TEST027	all	portable	M4	blocked	control-query-shape-branch-and-later-ESP-error-2013;reprobe-2026-08-12	core/sql/regress/core/TEST027:41
core	TEST029	all	portable	M4	blocked	SHOWDDL-and-view-DML-diagnostic-output-diff;reprobe-2026-08-12-120s	core/sql/regress/core/TEST029:72
core	TEST032	all	portable	M6	blocked	unsigned-key-order-diff-and-30s-timeout-in-conversion-matrix;reprobe-2026-08-12	core/sql/regress/core/TEST032:240
core	TEST037	all	portable	M5	blocked	INVOKE-SHOWDDL-format-and-later-view-error-4001;reprobe-2026-08-12	core/sql/regress/core/TEST037:70
core	TEST038	clnup,tests,aqr_other_session,clnup	portable	M4	blocked	section-baseline-extraction-empty-ESP-error-2013-and-30s-timeout;reprobe-2026-08-12	core/sql/regress/core/TEST038:71
core	TEST038	aqr	service-stack	M7	unsafe	external-concurrent-sqlci-session	core/sql/regress/core/TEST038:1272
core	TEST041	all	portable	M4	blocked	ALTER-row-value-CHECK-arkcmp-error-2013-and-30s-timeout;reprobe-2026-08-12	core/sql/regress/core/TEST041:75
core	TEST056	all	portable	M4	blocked	SHOWDDL-index-heading-diff-and-30s-timeout-in-MDAM-matrix;reprobe-2026-08-12	core/sql/regress/core/TEST056:77
core	TEST061	all	portable	M5	blocked	INVOKE-SHOWDDL-format-and-duplicate-index-error-3242;reprobe-2026-08-12	core/sql/regress/core/TEST061:57
core	TEST116	all	hbase-physical	-	excluded	HBase-object-lifecycle-and-concurrent-HBase-transactions	core/sql/regress/core/TEST116:42
core	TEST131	all	authorization	M8	unsafe	multi-user-authorization-shell-sessions	core/sql/regress/core/TEST131:37
core	TEST162	all	hbase-physical	-	excluded	SQL-on-Hadoop-PoC	core/sql/regress/core/TEST162
core	TEST163	all	portable	M10	runnable	none	core/sql/regress/core/TEST163:33
core	TESTRTS	all	service-stack	M7	unsafe	runtime-statistics-helper	core/sql/regress/core/TESTRTS
executor	TEST001	all	portable	M6	blocked	SJIS-collation-INVOKE-and-diagnostic-output-diff;reprobe-2026-08-12-120s	core/sql/regress/executor/TEST001:39
executor	TEST002	all	portable	M4	blocked	result-format-diff-and-30s-timeout-after-view-update-error-4028;reprobe-2026-08-12	core/sql/regress/executor/TEST002:65
executor	TEST012	all	portable	M6	blocked	fbstring-assert-on-zero-length-SUBSTRING-result;reprobe-2026-08-12-sqlci-134	core/sql/regress/executor/TEST012:54
executor	TEST013	all	service-stack	M7	unsafe	cleanup-obsolete-volatile-tables-sqlci-segfault-139	core/sql/regress/executor/TEST013:57
