# Source commit: 4d4e1a770. Initial timeout: 30 seconds; all 18 timeouts were rerun with 120 seconds.
# PASS requires sqlci=0 and an empty normalized DIFF; runtime errors present in both baselines are not failures.
suite	test	selector	milestone	result	sqlci	diff	observation
charsets	TEST001	all	M4	abort	134	1	fbstring-assert-after-two-UCS2-sort-key-rows
charsets	TEST002	all	M4	diff	0	1	trigger-now-created-and-SHOWDDL-output-diff
charsets	TEST004	all	M6	pass	0	0	exact-baseline-match
charsets	TEST010	all	M2	pass	0	0	exact-baseline-match
charsets	TEST012	all	M4	diff	0	1	INVOKE-SHOWDDL-and-UCS2-default-literal-output-diff
charsets	TEST014	all	M4	diff	0	1	HASH2-PARTITION-BY-rejected-with-error-1199
charsets	TEST310	all	M4	timeout	124	1	30s-timeout-in-TRIM-predicate-sequence
charsets	TEST311	all	M4	timeout	124	1	30s-timeout-in-RTRIM-predicate-sequence
charsets	TEST312	all	M4	timeout	124	1	UTF8-output-width-diff-and-30s-timeout-in-DECODE-query
charsets	TEST313	all	M4	timeout	124	1	UCS2-output-width-diff-and-30s-timeout-in-string-query
charsets	TEST314	all	M4	pass	0	0	exact-baseline-match
charsets	TEST315	all	M4	diff	0	1	UTF8-TRIM-length-padding-and-order-diff
charsets	TEST3265	all	M6	diff	0	1	64K-VARCHAR-statistics-GET-metadata-request-unsupported
compGeneral	TEST001	all	M2	diff	0	1	legacy-range-partition-DDL-syntax-error-15001
compGeneral	TEST004	clean_up,sch_5452,tests_begin,case_10_060807_4104,soln_10_060807_8199,soln_10-070416-4141,solu-10-080403-2090,tests_end	M4	diff	0	1	section-baseline-extraction-empty-and-runtime-error-2013
compGeneral	TEST004	LP_1324303	M5	diff	0	1	_MD_-TABLE_CONSTRAINTS-object-missing-error-1389
compGeneral	TEST005	all	M2	diff	0	1	ESP-error-2013-on-complex-full-outer-join
compGeneral	TEST006	clean_up,create_tables,negative_tests,positive_tests,analyzer_tests,defaults_tests,misc_tests,mode_special_tests,olap_functions,optimizer_hints,clean_up	M4	diff	0	1	cleanup-object-diagnostics-and-legacy-output-contract-diff
compGeneral	TEST011	all	M2	diff	0	1	legacy-setup-output-and-later-object-lifecycle-diff
compGeneral	TEST013	all	M4	diff	0	1	RI-warning-system-index-and-SHOWDDL-output-diff
compGeneral	TEST015	all	M4	timeout	124	1	30s-timeout-during-large-cross-join-load
compGeneral	TEST023	all	M5	diff	0	1	UPDATE-STATISTICS-LOG-and-UPSERT-USING-LOAD-unsupported
compGeneral	TEST045	setup,ddl,common_subexpr,with_queries	M4	timeout	124	1	INSERT-NO-CHECK-error-8001-and-30s-timeout-in-CSE-query
compGeneral	TEST071	all	M4	diff	0	1	legacy-metadata-query-result-contract-diff
core	TEST002	all	M2	timeout	124	1	30s-timeout-in-scalar-subquery-regression
core	TEST005	all	M3	diff	0	1	duplicate-unique-index-key-rejected-with-error-3242
core	TEST010	all	M4	diff	0	1	diagnostic-default-schema-and-text-diff
core	TEST027	all	M4	diff	0	1	control-query-shape-branch-and-later-ESP-error-2013
core	TEST029	all	M4	diff	0	1	SHOWDDL-and-view-DML-diagnostic-output-diff
core	TEST032	all	M6	timeout	124	1	unsigned-key-order-diff-and-30s-timeout-in-conversion-matrix
core	TEST037	all	M5	diff	0	1	INVOKE-SHOWDDL-format-and-later-view-error-4001
core	TEST038	clnup,tests,aqr_other_session,clnup	M4	timeout	124	1	section-baseline-extraction-empty-ESP-error-2013-and-30s-timeout
core	TEST041	all	M4	timeout	124	1	ALTER-row-value-CHECK-requests-arkcmp-error-2013-and-times-out
core	TEST056	all	M4	timeout	124	1	SHOWDDL-index-heading-diff-and-30s-timeout-in-MDAM-query-matrix
core	TEST061	all	M5	diff	0	1	INVOKE-SHOWDDL-format-and-duplicate-index-error-3242
executor	TEST001	all	M6	diff	0	1	SJIS-collation-INVOKE-and-diagnostic-output-diff
executor	TEST002	all	M4	timeout	124	1	result-format-diff-and-30s-timeout-after-view-update-error-4028
executor	TEST012	all	M6	abort	134	1	fbstring-assert-on-zero-length-SUBSTRING-result
executor	TEST025	all	M4	diff	0	1	CQD-branch-and-MDAM-plan-error-2105
executor	TEST050	all	M4	pass	0	0	exact-baseline-match
executor	TEST122	test_drop_index,clnup	M3	diff	0	1	plan-uses-table-scan-instead-of-index-scan-and-hash-value-diff
seabase	TEST003	setup_tiny,dml_tiny,errors_tiny,setup_lu,dml_lu,errors_lu,setup_bool,dml_bool,errors_bool,dml_bool_short,clean_up	M6	diff	0	1	INVOKE-format-and-TINYINT-DML-diagnostic-diff
seabase	TEST004	setup_binary,dml_binary,errors_binary	M6	diff	0	1	BINARY-INVOKE-type-rendering-and-cast-diagnostic-diff
seabase	TEST012	schemaDrop,getStmts	M4	pass	0	0	exact-baseline-match
seabase	TEST020	all	M4	timeout	124	1	INVOKE-SHOWDDL-diff-and-30s-timeout-in-constraint-matrix
seabase	TEST024	all	M4	diff	0	1	sequence-list-format-metadata-and-error-1390-diff
seabase	TEST025	all	M4	diff	0	1	identity-SHOWDDL-sequence-exhaustion-and-error-text-diff
seabase	TEST030	all	M6	diff	0	1	DATEFORMAT-USA-AM-rendering-and-diagnostic-diff
seabase	TEST032	all	M4	diff	0	1	INVOKE-SHOWDDL-format-and-cast-error-8413-diff
