# Standard runallsb suites not represented by manifest.tsv.
suite	test	classification	disposition	blocker	evidence
hive	TEST001	hive	excluded	requires-Hive-runtime-and-Hive-catalog	core/sql/regress/hive/TEST001
hive	TEST002	hive	excluded	requires-HDFS-runtime	core/sql/regress/hive/TEST002
hive	TEST003	hive	excluded	requires-Hive-runtime-and-external-Hive-DDL	core/sql/regress/hive/TEST003
hive	TEST004	hive	excluded	requires-Hive-runtime-and-Hive-metadata	core/sql/regress/hive/TEST004
hive	TEST005	hive	excluded	requires-external-Hive-SQL-loaders	core/sql/regress/hive/TEST005
hive	TEST006	hive	excluded	requires-Hive-runtime-and-external-Hive-SQL	core/sql/regress/hive/TEST006
hive	TEST007	hive	excluded	requires-Hive-runtime-and-Hive-catalog	core/sql/regress/hive/TEST007
hive	TEST008	hive	excluded	requires-Hive-runtime	core/sql/regress/hive/TEST008
hive	TEST009	hive	excluded	requires-Hive-external-tables-and-HBase-setup	core/sql/regress/hive/TEST009
hive	TEST015	hive	excluded	requires-HBase-backed-Hive-integration	core/sql/regress/hive/TEST015
hive	TEST017	hive	excluded	requires-HBase-backed-Hive-integration	core/sql/regress/hive/TEST017
hive	TEST018	hive	excluded	requires-Hive-and-HBase-external-setup	core/sql/regress/hive/TEST018
hive	TEST020	hive	excluded	requires-Hive-ORC-runtime	core/sql/regress/hive/TEST020
hive	TEST021	hive	excluded	requires-Hive-runtime-and-type-integration	core/sql/regress/hive/TEST021
qat	qatddl00	stateful	blocked	shared-QAT-cleanup-sequence-not-adapted	core/sql/regress/qat/qatddl00
qat	qatddl01	mixed	blocked	shared-QAT-PIC-table-and-index-bootstrap-not-adapted	core/sql/regress/qat/qatddl01
qat	qatddl02	stateful	blocked	depends-on-qatddl01-base-schema-and-shared-store	core/sql/regress/qat/qatddl02
qat	qatddl03	stateful	blocked	depends-on-qatddl01-base-schema-and-shared-store	core/sql/regress/qat/qatddl03
qat	qatddl04	stateful	blocked	depends-on-qatddl01-tables-and-shared-store	core/sql/regress/qat/qatddl04
qat	qatddl05	stateful	blocked	depends-on-qatddl01-through-qatddl04-shared-state	core/sql/regress/qat/qatddl05
qat	qatddl06	mixed	blocked	NO-AUDIT-PIC-index-and-shared-QAT-bootstrap-not-adapted	core/sql/regress/qat/qatddl06
qat	qatddl07	stateful	blocked	depends-on-qatddl06-PIC-schema-and-shared-store	core/sql/regress/qat/qatddl07
qat	qatddl08	stateful	blocked	depends-on-qatddl06-PIC-schema-and-shared-store	core/sql/regress/qat/qatddl08
qat	qatddl09	stateful	blocked	depends-on-qatddl06-tables-and-shared-store	core/sql/regress/qat/qatddl09
qat	qatddl10	stateful	blocked	depends-on-qatddl06-through-qatddl09-shared-state	core/sql/regress/qat/qatddl10
qat	qatdml01	stateful	blocked	depends-on-complete-QAT-DDL-and-data-bootstrap	core/sql/regress/qat/qatdml01
qat	qatdml02	stateful	blocked	depends-on-QAT-PIC-type-schema-and-shared-data	core/sql/regress/qat/qatdml02
qat	qatdml03	stateful	blocked	depends-on-QAT-PIC-type-schema-and-shared-data	core/sql/regress/qat/qatdml03
qat	qatdml04	stateful	blocked	depends-on-QAT-PIC-type-schema-and-shared-data	core/sql/regress/qat/qatdml04
qat	qatdml05	stateful	blocked	depends-on-QAT-views-and-shared-data	core/sql/regress/qat/qatdml05
qat	qatdml06	stateful	blocked	depends-on-QAT-views-and-shared-data	core/sql/regress/qat/qatdml06
qat	qatdml07	mixed	blocked	depends-on-QAT-state-and-legacy-parallelism-controls	core/sql/regress/qat/qatdml07
qat	qatdml08	stateful	blocked	depends-on-QAT-state-and-READ-COMMITTED-contract	core/sql/regress/qat/qatdml08
qat	qatdml09	stateful	blocked	depends-on-QAT-state-and-READ-COMMITTED-contract	core/sql/regress/qat/qatdml09
qat	qatdml10	stateful	blocked	depends-on-QAT-state-and-READ-COMMITTED-contract	core/sql/regress/qat/qatdml10
qat	qatdml11	stateful	blocked	depends-on-QAT-state-parameters-and-READ-COMMITTED-contract	core/sql/regress/qat/qatdml11
qat	qatdml12	stateful	blocked	depends-on-QAT-PIC-schema-and-shared-data	core/sql/regress/qat/qatdml12
qat	qatdml13	stateful	blocked	depends-on-QAT-PIC-schema-parameters-and-shared-data	core/sql/regress/qat/qatdml13
qat	qatdml14	stateful	blocked	depends-on-QAT-state-and-READ-COMMITTED-contract	core/sql/regress/qat/qatdml14
