# One row per whole TEST initially. Split selector into comma-separated OBEY sections after manual review.
suite	test	selector	classification	milestone	disposition	blocker	evidence
charsets	TEST001	all	portable	M4	blocked	ALTER-CHECK-first;also-M6-UCS2-hex-assignment	core/sql/regress/charsets/TEST001:89
charsets	TEST002	all	portable	M4	blocked	DEFAULT-CHECK-RI-VIEW-INDEX;also-M1-M6	core/sql/regress/charsets/TEST002:39
charsets	TEST003	all	portable	M1	blocked	UPDATE-first-roadmap-dependency;also-M2-M5-M6	core/sql/regress/charsets/TEST003:54
charsets	TEST004	all	portable	M6	blocked	UCS2-CHAR-assignment-error-8690	core/sql/regress/charsets/TEST004:56
charsets	TEST010	all	portable	M2	blocked	DELETE-and-UCS2-parameter-result-mismatch	core/sql/regress/charsets/TEST010:143
charsets	TEST012	all	portable	M4	blocked	DEFAULT-column-first;also-M1-M2-M5-M6	core/sql/regress/charsets/TEST012:37
charsets	TEST014	all	portable	M4	blocked	DEFAULT-VIEW-schema-DDL;also-M6-INTERVAL-UCS2	core/sql/regress/charsets/TEST014:53
charsets	TEST310	all	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M6-implicit-cast;120s-whole-test-timeout	core/sql/regress/charsets/TEST310:47
charsets	TEST311	all	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M6-volatile-implicit-cast	core/sql/regress/charsets/TEST311:48
charsets	TEST312	all	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M6-UTF8-implicit-cast	core/sql/regress/charsets/TEST312:44
charsets	TEST313	all	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M6-UTF8-UCS2-implicit-cast	core/sql/regress/charsets/TEST313:47
charsets	TEST314	all	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M6-two-byte-UTF8	core/sql/regress/charsets/TEST314:47
charsets	TEST315	all	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M6-three-byte-UTF8	core/sql/regress/charsets/TEST315:46
charsets	TEST316	all	portable	M10	runnable	none	core/sql/regress/charsets/TEST316:42
charsets	TEST3265	all	portable	M6	blocked	64K-UTF8-assignment-error-8690	core/sql/regress/charsets/TEST3265:42
compGeneral	TEST001	all	portable	M2	blocked	DELETE-first-roadmap-dependency;also-M3-M4-M7-partition-and-ESP	core/sql/regress/compGeneral/TEST001:270
compGeneral	TEST004	clean_up,sch_5452,tests_begin,case_10_060807_4104,soln_10_060807_8199,soln_10-070416-4141,solu-10-080403-2090,tests_end	portable	M4	blocked	VIEW-schema-DDL-and-update-statistics;also-M1-M2-M3-M5	core/sql/regress/compGeneral/TEST004:30
compGeneral	TEST004	ALM_6748	service-stack	M7	unsafe	optimizer-expression-prepare-sqlci-abort-134	core/sql/regress/compGeneral/TEST004:837
compGeneral	TEST004	LP_1324303	portable	M5	blocked	metadata-catalog-query-and-EXPLAIN	core/sql/regress/compGeneral/TEST004:850
compGeneral	TEST004	verify_sap_update_fix	service-stack	M7	unsafe	external-log-filter-shell-pipeline	core/sql/regress/compGeneral/TEST004:820
compGeneral	TEST005	all	portable	M2	blocked	DELETE-heavy-FOJ-setup;also-M4-DEFAULT	core/sql/regress/compGeneral/TEST005:247
compGeneral	TEST006	clean_up,create_tables,negative_tests,positive_tests,analyzer_tests,defaults_tests,misc_tests,mode_special_tests,olap_functions,optimizer_hints,clean_up	mixed	M4	blocked	VIEW-index-MV-schema-and-storage-DDL;also-M1-M2-M5-M6-M7	core/sql/regress/compGeneral/TEST006:81
compGeneral	TEST006	all	service-stack	M7	unsafe	unsectioned-shell-log-cleanup-driver	core/sql/regress/compGeneral/TEST006:29
compGeneral	TEST011	all	portable	M2	blocked	UPSERT-DELETE-prerequisites;also-M4-LIKE-M5-stats	core/sql/regress/compGeneral/TEST011:212
compGeneral	TEST013	all	portable	M4	blocked	CREATE-TABLE-LIKE-RI-SHOWDDL	core/sql/regress/compGeneral/TEST013:72
compGeneral	TEST015	all	portable	M4	blocked	CREATE-SCHEMA-and-statistics-prerequisites;30s-whole-test-timeout	core/sql/regress/compGeneral/TEST015:41
compGeneral	TEST023	all	portable	M5	blocked	incremental-UPDATE-STATISTICS;also-M2-UPSERT-M4-schema	core/sql/regress/compGeneral/TEST023:112
compGeneral	TEST042	test_ddl	mixed	M7	blocked	SALT-partitioned-table-and-hybrid-query-cache-statistics-setup	core/sql/regress/compGeneral/TEST042:52
compGeneral	TEST042	test_dml	service-stack	M7	unsafe	hybrid-query-cache-shell-log-and-proc-inspection	core/sql/regress/compGeneral/TEST042:248
compGeneral	TEST045	setup,ddl,common_subexpr,with_queries	portable	M4	blocked	CREATE-SCHEMA-wrapper;also-M5-stats-and-CSE-explain	core/sql/regress/compGeneral/TEST045:50
compGeneral	TEST045	clnup	service-stack	M7	unsafe	cleanup-obsolete-volatile-tables-sqlci-segfault-139	core/sql/regress/compGeneral/TEST045:40
compGeneral	TEST062	all	mixed	M7	blocked	partition-SALT-and-skew-executor;also-M1-M2-M5-M6	core/sql/regress/compGeneral/TEST062:99
compGeneral	TEST071	all	portable	M4	blocked	schema-DEFAULT-IDENTITY-DIVISION;also-M1-M2-M3-M5-M6	core/sql/regress/compGeneral/TEST071:40
compGeneral	TEST072	all	udr	M9	unsafe	external-cpp-java-library-helper	core/sql/regress/compGeneral/TEST072
compGeneral	TESTTOK	all	compiler-tool	M7	unsafe	external-parser-tool-helper	core/sql/regress/compGeneral/TESTTOK
compGeneral	TESTTOK2	all	compiler-tool	M7	unsafe	external-parser-tool-helper	core/sql/regress/compGeneral/TESTTOK2
core	TEST000	all	service-stack	M7	unsafe	external-TRAF_HOME-regrinit-OBEY	core/sql/regress/core/TEST000:28
core	TEST001	all	compiler-tool	M7	unsafe	sqlci-post-session-segfault-139-after-conditional-directives	core/sql/regress/core/TEST001:242
core	TEST002	all	portable	M2	blocked	DELETE-prerequisite-and-diagnostic-output;30s-whole-test-timeout	core/sql/regress/core/TEST002:379
core	TEST005	all	portable	M3	blocked	secondary-indexes;also-M2-M5-M6-INTERVAL	core/sql/regress/core/TEST005:114
core	TEST008	all	portable	M7	blocked	complex-join-executor-ESP-error-2013	core/sql/regress/core/TEST008:196
core	TEST010	all	portable	M4	blocked	CREATE-VIEW;also-M5-executor-stats-M6-UCS2	core/sql/regress/core/TEST010:71
